,15Rbulk,17R,18R
0,0.003697905670118961,0.00038922102629622554,0.0021016425786829726
1,0.0036643923972429614,0.0003866719857877329,0.0020750504291349326
2,0.003677707012289383,0.00038857787337723997,0.0020949176078930054
3,0.0037006777707460216,0.0003892568711074409,0.0021020176880576914
4,0.0036641511782324007,0.00038671030286645513,0.0020754489479401835
5,0.003673209402884801,0.00038818638867019233,0.002090829251733827
6,0.003695803433008753,0.0003888511101901122,0.002097773367102318
7,0.0036413267604999324,0.00038872980829932947,0.002096505337040111
8,0.003698249421743867,0.00038879805736071377,0.0020972187333655086
9,0.003663445438315733,0.00038642718141110956,0.0020725052025500415
10,0.003676947065831036,0.00038852176151388414,0.0020943313827300756
11,0.003695012513233563,0.00038877955606736415,0.002097025330752583
12,0.003697834350326549,0.00038900469288871817,0.0020993793771409714
13,0.0036630444096696774,0.0003866250763842969,0.0020745625958323004
14,0.003651171547371198,0.00038861453435761324,0.0020953006640690684
