d15Na,d15Nb,SP,d15Nbulk,d17O,d18O,run_date,Identifier 1,gamma,kappa
16.486057430671774,-2.0877670889646316,18.573824519636407,7.199145170853571,31.162433473079343,61.27437901398514,191202,Ward_1325,0.17457266313475217,0.07967347874323519
14.408865020733463,-4.046463475230522,18.455328495963986,5.18120077275147,30.96167162549723,60.87398053261861,191202,Ward_1326,0.17457266313475217,0.07967347874323519
12.543551733556368,-4.387683634175632,16.931235367732,4.077934049690368,28.72435519923089,56.41683586950985,191202,Ward_1327,0.17457266313475217,0.07967347874323519
26.162059050314433,11.209645673328605,14.952413376985827,18.685852361821517,27.590999759824484,54.16244994893616,191202,Ward_1328,0.17457266313475217,0.07967347874323519
28.70552519133107,8.684108584630534,20.021416606700534,18.694816887980803,30.037246607938606,59.03125526072239,191202,Ward_1329,0.17457266313475217,0.07967347874323519
35.4685679639517,26.102408736298433,9.366159227653267,30.785488350125064,30.98449326607944,60.91949222094417,191202,Ward_1330,0.17457266313475217,0.07967347874323519
26.75819119583389,8.19039777488384,18.567793420950053,17.474294485358865,31.085473499284035,61.12088176205499,191202,Ward_1331,0.17457266313475217,0.07967347874323519
22.814836389520863,5.447169571221933,17.36766681829893,14.131002980371399,29.256431172123065,57.47600562680155,191202,Ward_1332,0.17457266313475217,0.07967347874323519
32.090078305462065,16.75482541592821,15.335252889533855,24.422451860695137,27.859170910968345,54.695665437689996,191202,Ward_1333,0.17457266313475217,0.07967347874323519
304.54906244758087,104.27216777133741,200.27689467624344,204.41061510945914,64.40054203382672,128.5719149608826,191202,Ward_1334,0.17457266313475217,0.07967347874323519
280.7522934071625,92.71408786035184,188.03820554681064,186.73319063375715,64.5468340442803,128.87253854701353,191202,Ward_1335,0.174572663134752,0.07967347874323519
152.26494741652607,35.77528009045072,116.48966732607535,94.0201137534884,44.29676023185647,87.628266027582,191202,Ward_1336,0.17457266313475217,0.07967347874323519
599.4326630603695,656.4050326815063,-56.97236962113686,627.918847870938,60.16262427523667,119.88000551663535,191202,Ward_1337,0.17457266313475217,0.07967347874323519
645.8711453678827,712.1180592654741,-66.24691389759141,678.9946023166784,59.576116109240516,118.67964786286333,191202,Ward_1338,0.17457266313475217,0.07967347874323519
684.7077305215223,655.4361561868591,29.271574334663228,670.0719433541907,59.67710275970628,118.88628446644157,191203,Ward_1339,0.17428295181305936,0.07968014372857697
749.6008105650525,965.5966890052965,-215.99587844024404,857.5987497851745,57.420394767892844,114.2730655200337,191203,Ward_1340,0.17428295181305936,0.07968014372857697
695.1459871767233,807.4056287088889,-112.25964153216557,751.2758079428061,58.72193966118111,116.93259021039349,191203,Ward_1341,0.17428295181305936,0.07968014372857697
1921.5749943139097,2796.9725317592547,-875.397537445345,2359.2737630365823,31.05809534889925,61.06627842471024,191203,Ward_1342,0.17428295181305936,0.07968014372857697
16.557160351015064,-2.411864247197526,18.96902459821259,7.072648051908769,31.302952039236274,61.554672083771635,191205,Ward_1343,0.17394966632962505,0.07966839772737269
20.48199590570143,4.971445919272011,15.510549986429421,12.726720912486721,31.260598528306094,61.47018555712069,191205,Ward_1344,0.17394966632962505,0.07966839772737269
13.989072473253428,-1.1928175456690226,15.18189001892245,6.3981274637922025,29.03917377592724,57.04346310730934,191205,Ward_1345,0.17394966632962505,0.07966839772737269
193.48914755416314,182.00013744981925,11.48901010434389,187.7446425019912,29.846272929156427,58.650766444725775,191205,Ward_1346,0.17394966632962505,0.07966839772737269
115.19583627713126,100.96899340443244,14.226842872698825,108.08241484078185,30.515544655377536,59.98448881805651,191205,Ward_1347,0.17394966632962505,0.07966839772737269
98.51950081314587,82.5212251179146,15.998275695231271,90.52036296553024,30.6574074684125,60.26729693279709,191205,Ward_1348,0.17394966632962505,0.07966839772737269
208.1960284865827,195.4459709371541,12.75005754942859,201.8209997118684,29.723346986008092,58.40588839972827,191205,Ward_1349,0.17394966632962505,0.07966839772737269
237.54857908134542,226.28674250458425,11.26183657676117,231.91766079296485,29.45638914617499,57.87418203697303,191205,Ward_1350,0.17394966632962505,0.07966839772737269
207.24559286257204,195.92821548552996,11.317377377042078,201.586904174051,29.725370307321253,58.40991879130608,191205,Ward_1351,0.17394966632962505,0.07966839772737269
